ID,Node,Technology,Fuel,Capacity,Efficiency,Emission,VariableCost,Storage,Latitude,Longitude
BNA1108,337,Steam turbine,Waste,9.9,0.33,0,0,0,51.62965,12.28922
BNA1110,272,Steam turbine,Waste,9.5,0.33,0,0,0,48.68552315,9.049525695
BNA1114,401,Steam turbine,Waste,44,0.33,0,0,0,53.114562,8.818186
BNA1115,67,Steam turbine,OtherFuels,85,0.33,0,0,0,49.35485,6.73149
BNA1116,404,Steam turbine,Waste,14,0.33,0,0,0,53.54782,8.61792
BNA1117,128,Steam turbine,NaturalGas,11.4,0.3839,0.525657723,0,0,49.81082,9.01169
BNA1119,315,Steam turbine,Waste,12.5,0.33,0,0,0,48.18508,12.73606
BNA1120,154,Gas turbine,NaturalGas,10.2,0.3566,0.565900168,0,0,51.57442,7.29794
BNA1121,154,Steam turbine,NaturalGas,0.9,0.3905,0.516773367,0,0,51.57442,7.29794
BNA1125,199,Gas turbine,NaturalGas,10,0.3774,0.534711182,0,0,49.8828183,8.628718585
BNA1127,317,Gas turbine,NaturalGas,6.7,0.3748,0.538420491,0,0,48.640307,12.463436
BNA1128,317,Gas turbine,NaturalGas,6.7,0.3748,0.538420491,0,0,48.640307,12.463436
BNA1131,170,Steam turbine,NaturalGas,14,0.3971,0.508184336,0,0,50.77284,6.49003
BNA1138,118,Steam turbine,NaturalGas,10.2,0.385,0.524155844,0,0,51.21686,6.94733
BNA1139,268,Steam turbine,Waste,13.6,0.33,0,0,0,47.89061,7.61608
BNA1141,71,Steam turbine,Lignite,14.5,0.4312,0.842532468,0,0,50.65803,6.81012
BNA1144,274,Steam turbine,Waste,11,0.33,0,0,0,48.68232,9.67126
BNA1148,145,Steam turbine,Waste,14.6,0.33,0,0,0,51.68039,7.74422
BNA1151,58,Steam turbine,NaturalGas,13.5,0.3872,0.521177686,0,0,49.42158,8.67284
BNA1154,92,Steam turbine,Waste,12.5,0.33,0,0,0,51.55728,7.16406
BNA1155,92,Steam turbine,Waste,17.1,0.33,0,0,0,51.55728,7.16406
BNA1161,313,Steam turbine,Waste,25.5,0.33,0,0,0,48.7645,11.49185
BNA1164,170,Steam turbine,Lignite,24.6,0.4096,0.886962891,0,0,50.91517,6.36935
BNA1165,147,Steam turbine,NaturalGas,11.4,0.3894,0.518233179,0,0,51.72967,6.35865
BNA1166,95,Steam turbine,Oil(light),4.8,0.3817,0.696882368,0,0,51.52242,6.57467
BNA1167,95,Steam turbine,Waste,16,0.33,0,0,0,51.52242,6.57467
BNA1168,226,Steam turbine,Waste,14.7,0.33,0,0,0,51.2976283,9.52410538
BNA1182,104,Steam turbine,NaturalGas,15.5,0.3465,0.582395382,0,0,51.017899,6.964045
BNA1183,108,Combined cycle,NaturalGas,15.8,0.5445,0.370615243,0,0,50.94308239,7.085239192
BNA1184,104,Steam turbine,Waste,45.1,0.33,0,0,0,51.0003,6.94358
BNA1185,373,Steam turbine,Lignite,20.3,0.3832,0.948068894,0,0,51.69784,11.7581
BNA1186a,83,Steam turbine,Waste,13.5,0.33,0,0,0,51.38038,6.63732
BNA1186b,83,Steam turbine,Waste,13.8,0.33,0,0,0,51.38038,6.63732
BNA1186c,83,Steam turbine,Waste,1.5,0.33,0,0,0,51.38038,6.63732
BNA1186d,83,Steam turbine,Waste,2.8,0.33,0,0,0,51.38038,6.63732
BNA1186e,83,Steam turbine,Waste,1.5,0.33,0,0,0,51.38038,6.63732
BNA1187,216,Steam turbine,NaturalGas,10.2,0.363,0.555922865,0,0,51.98614,8.80732
BNA1190,352,Steam turbine,Waste,15.7,0.33,0,0,0,51.45071,14.11215
BNA1193,216,Steam turbine,NaturalGas,12.8,0.3872,0.521177686,0,0,52.026244,8.866597
BNA1196a,252,Steam turbine,NaturalGas,12.5,0.3938,0.512442864,0,0,49.45308,8.43364
BNA1196b,252,Combined cycle,NaturalGas,12,0.5535,0.364588979,0,0,49.453181,8.433592
BNA1197,250,Steam turbine,Waste,28,0.33,0,0,0,49.48505,8.42622
BNA1198,341,Steam turbine,Waste,25.4,0.33,0,0,0,51.18158,12.01965
BNA1199,200,Steam turbine,Waste,15.6,0.33,0,0,0,50.02594,8.24183
BNA1200,250,Combined cycle,NaturalGas,17.2,0.5625,0.358755556,0,0,49.53071,8.47088
BNA1212,49,Steam turbine,Oil(light),11.4,0.3718,0.715438408,0,0,48.062671,10.486643
BNA1222,196,Steam turbine,Waste,10.4,0.33,0,0,0,50.06533,8.76898
BNA1225,303,Steam turbine,NaturalGas,5.3,0.3729,0.541163851,0,0,47.789499,11.055371
BNA1226,303,Steam turbine,NaturalGas,5.3,0.3707,0.544375506,0,0,47.789499,11.055371
BNA1227,49,Steam turbine,Oil(light),11.4,0.3663,0.726180726,0,0,47.912537,10.61174
BNA1229,245,Steam turbine,Waste,15,0.33,0,0,0,49.22822,7.59553
BNA1232,372,Steam turbine,Waste,2.5,0.33,0,0,0,52.53505,12.36259
BNA1233,372,Steam turbine,Waste,14.5,0.33,0,0,0,52.53505,12.36259
BNA1238,305,Steam turbine,NaturalGas,12.6,0.385,0.524155844,0,0,48.056351,12.185174
BNA1243,422,Steam turbine,Waste,17,0.33,0,0,0,54.14465,12.14123
BNA1244,26,Steam turbine,Waste,15.8,0.33,0,0,0,49.21387,6.83445
BNA1248a,49,Steam turbine,NaturalGas,82,0.3509,0.575092619,0,0,47.80811,10.90251
BNA1248b,49,Steam turbine,NaturalGas,65,0.4015,0.502615193,0,0,47.80811,10.90251
BNA1249,49,Steam turbine,OtherFuels,6,0.33,0,0,0,47.80811,10.90251
BNA1254,321,Steam turbine,Waste,54,0.33,0,0,0,49.30998,12.08795
BNA1255,360,Steam turbine,Waste,28.9,0.33,0,0,0,53.083056,14.321443
BNA1260,272,Steam turbine,NaturalGas,95,0.3993,0.505384423,0,0,48.697222,8.999167
BNA1261,415,Steam turbine,Waste,16.4,0.33,0,0,0,53.6187,10.224463
BNA1262,373,Steam turbine,Waste,24,0.33,0,0,0,51.86615,11.576296
BNA1264,330,Steam turbine,NaturalGas,13.5,0.3795,0.531752306,0,0,50.6315,10.69866
BNA1271,180,Steam turbine,NaturalGas,33.6,0.3465,0.582395382,0,0,50.81319,9.97752
BNA1279,106,Combined cycle,NaturalGas,51.9,0.4275,0.472046784,0,0,50.83051,6.95936
BNA1280,106,Combined cycle,Oil(light),66.3,0.38,0.7,0,0,50.83051,6.95936
BNA1284,249,Steam turbine,NaturalGas,11.5,0.3751,0.537989869,0,0,49.66328,8.35894
BNA1285,385,Steam turbine,NaturalGas,19,0.3564,0.566217733,0,0,52.41852,9.36815
BNA1286,330,Steam turbine,Waste,11.2,0.33,0,0,0,50.63879437,10.68695146
BNA1289,62,Steam turbine,Waste,12.6,0.33,0,0,0,51.3971,7.69674
BNA1291,68,Steam turbine,Waste,12.5,0.33,0,0,0,50.43486,7.43211
BNA1292a,292,Steam turbine,NaturalGas,11.1,0.3663,0.550914551,0,0,48.670061,10.150584
BNA1292b,292,Steam turbine,NaturalGas,15.4,0.385,0.524155844,0,0,48.670061,10.150584
BNA1293b,165,Steam turbine,Lignite,10,0.388,0.936340206,0,0,50.94564,6.66503
BNA1294,414,Steam turbine,Oil(light),38,0.3773,0.705009276,0,0,53.485203,9.969562
BNA1295,296,Steam turbine,Waste,10,0.33,0,0,0,48.40113,10.9356
BNA1315,268,Steam turbine,NaturalGas,27,0.3861,0.522662523,0,0,48.00557217,7.842279817
BNA1316,119,Steam turbine,Waste,30,0.33,0,0,0,51.22515,7.14223
BNA1327a,311,Steam turbine,NaturalGas,11.1,0.3762,0.5364168,0,0,48.3591,11.7903
BNA1327b,311,Steam turbine,NaturalGas,7.4,0.3883,0.519701262,0,0,48.3591,11.7903
BNA1328,305,Steam turbine,NaturalGas,24,0.3861,0.522662523,0,0,47.79598,12.11927
BNA1329,349,Combined cycle,NaturalGas,12.8,0.5085,0.396853491,0,0,51.05135,13.01661
BNA1330,429,Steam turbine,Waste,17,0.33,0,0,0,53.78181,9.42577
BNA1331,210,Steam turbine,HardCoal,19,0.315,1.07968254,3.119576933,0,51.39139,8.07304
BNA1332,159,Steam turbine,NaturalGas,24,0.3795,0.531752306,0,0,51.46935,6.64358
BNA1333a,272,Steam turbine,NaturalGas,12.2,0.3718,0.542764927,0,0,48.75081,9.1103
BNA1333b,272,Steam turbine,NaturalGas,11.3,0.3509,0.575092619,0,0,48.75081,9.1103
BNA1333c,272,Steam turbine,NaturalGas,11.6,0.3498,0.576901086,0,0,48.75081,9.1103
BNA1334,399,Combined cycle,NaturalGas,14.8,0.549,0.367577413,0,0,53.12099,8.734776
BNA1335a,405,Steam turbine,NaturalGas,58.1,0.3729,0.541163851,0,0,53.40317,8.12821
BNA1335b,405,Steam turbine,NaturalGas,0.5,0.3498,0.576901086,0,0,53.40317,8.12821
BNA1336,116,Steam turbine,NaturalGas,84,0.3278,0.61561928,0,0,51.17565,6.83805
BNA1337d,128,Steam turbine,Oil(light),0.5,0.3751,0.709144228,0,0,49.988218,9.155761
BNA1337e,128,Combined cycle,NaturalGas,47,0.5985,0.337176274,0,0,49.988218,9.155761
BNA1338,129,Steam turbine,Oil(light),19,0.3608,0.737250554,0,0,48.85906,13.00692
BNA1396,351,Steam turbine,NaturalGas,34.3,0.3828,0.527168234,0,0,51.12697,13.715
BNA1397a,171,Gas turbine,OtherFuels,15.5,0.33,0,0,0,51.06948,6.84669
BNA1397b,171,Gas turbine,OtherFuels,19.2,0.33,0,0,0,51.06948,6.84669
BNA1397c,171,Gas turbine,OtherFuels,15.5,0.33,0,0,0,51.06948,6.84669
BNA1397d,171,Gas turbine,OtherFuels,10.4,0.33,0,0,0,51.06948,6.84669
BNA1397e,171,Gas turbine,OtherFuels,33.6,0.33,0,0,0,51.06948,6.84669
BNA1399,96,Steam turbine,OtherFuels,38,0.33,0,0,0,51.52462,6.8011
BNA1400a,341,Steam turbine,Lignite,18.5,0.3832,0.948068894,0,0,51.04885,12.11038
BNA1400b,341,Steam turbine,Oil(light),18.5,0.3773,0.705009276,0,0,51.04885,12.11038
BNA1401a,164,Steam turbine,Lignite,1050,0.4288,0.847248134,0,0,51.0365,6.61332
BNA1401b,164,Steam turbine,Lignite,1050,0.4288,0.847248134,0,0,51.0365,6.61332
BNA1402,57,Steam turbine,NaturalGas,18.1,0.3795,0.531752306,0,0,52.61796,7.86188
BNA1403,56,Steam turbine,NaturalGas,11.4,0.3795,0.531752306,0,0,52.83005,11.10328
BNA1404,354,Steam turbine,Lignite,640,0.4288,0.847248134,0,0,51.41918,14.5698
BNA1405a,297,Steam turbine,HardCoal,20.7,0.37,0.919189189,3.983784056,0,48.39704,9.96484
BNA1406,161,Steam turbine,NaturalGas,18.9,0.3762,0.5364168,0,0,51.2171,6.69654
BNA1407,349,Steam turbine,NaturalGas,13.5,0.3927,0.513878279,0,0,50.87413,13.39436
BNA1408,80,Steam turbine,NaturalGas,16,0.363,0.555922865,0,0,47.570794,7.807192
BNA1409,99,Steam turbine,OtherFuels,21,0.33,0,0,0,51.41906,6.7385
BNA1437,64,Gas turbine,NaturalGas,30.7,0.4112,0.490758755,0,0,53.65752,9.50198
BNA1444a,323,Gas turbine,NaturalGas,4.2,0.3618,0.557766722,0,0,49.40593,11.13286
BNA1444b,323,Gas turbine,NaturalGas,4.2,0.3618,0.557766722,0,0,49.40593,11.13286
BNA1444c,323,Gas turbine,NaturalGas,5.1,0.3644,0.553787047,0,0,49.40593,11.13286
BNA1444d,323,Gas turbine,NaturalGas,5.1,0.367,0.54986376,0,0,49.40593,11.13286
BNA1447a,249,Steam turbine,Waste,11.9,0.33,0,0,0,49.654569,8.36275
BNA1447b,249,Steam turbine,Waste,6.9,0.33,0,0,0,49.654569,8.36275
BNA1448,244,Steam turbine,Waste,11.6,0.33,0,0,0,49.33857,7.17001
BNA1449a,232,Steam turbine,Waste,8.7,0.33,0,0,0,49.793,9.99406
BNA1449b,232,Steam turbine,Waste,12,0.33,0,0,0,49.793,9.99406
BNA1450,380,Combined cycle,NaturalGas,13,0.54,0.373703704,0,0,52.623451,10.245655
BNA1451,14,Steam turbine,Lignite,27.5,0.3088,1.176489637,0,0,51.44089,6.70543
BNA1458,243,Combustion Engine,OtherFuels,28,0.3575,0,0,0,49.208167,7.935652
BNA1461,341,Steam turbine,Lignite,17.5,0.412,0.881796117,0,0,51.051995,12.113654
BNA1463,335,Steam turbine,NaturalGas,19.5,0.3608,0.559312639,0,0,51.66322,10.354271
BNA1464,238,Steam turbine,NaturalGas,38.6,0.3982,0.506780512,0,0,49.213706,6.97813
BNA1465a,222,Steam turbine,OtherFuels,28,0.33,0,0,0,51.318082,9.849008
BNA1465b,222,Steam turbine,NaturalGas,13.2,0.3575,0.564475524,0,0,51.318082,9.849008
BNA1467,267,Steam turbine,HardCoal,18.5,0.39,0.872051282,3.779487438,0,48.527167,8.087068
BNA1486,338,Steam turbine,Lignite,49,0.3496,1.039187643,0,0,51.462749,11.714028
BNA1487,199,Combined cycle,NaturalGas,94.6,0.5985,0.337176274,0,0,49.884879,8.650067
BNA1488,121,Steam turbine,OtherFuels,16,0.33,0,0,0,51.510668,7.465382
BNA1489,130,Steam turbine,NaturalGas,22,0.3784,0.533298097,0,0,52.6087132,11.8324507
BNA1490,168,Steam turbine,Waste,33.4,0.33,0,0,0,50.8577189,6.850175
BNA1492a,227,Steam turbine,NaturalGas,26.2,0.374,0.539572193,0,0,50.56912,9.68128
BNA1492b,227,Steam turbine,NaturalGas,8,0.3982,0.506780512,0,0,50.56912,9.68128
BNA1498,384,Steam turbine,NaturalGas,30.6,0.3333,0.605460546,0,0,52.16921,9.7909
BNA1499,381,Steam turbine,NaturalGas,15.8,0.385,0.524155844,0,0,52.2321963,10.033285
BNA1500,389,Steam turbine,HardCoal,40,0.4,0.85025,1.228333417,0,52.9751813,10.5573974
BNA1502,444,Steam turbine,NaturalGas,12.6,0.3993,0.505384423,0,0,51.3387609,6.5853417
BNA1503,114,Steam turbine,NaturalGas,16.9,0.3982,0.506780512,0,0,51.25454,6.78648
BNA1504,32,Steam turbine,NaturalGas,13,0.3993,0.505384423,0,0,49.047474,8.281602
BNA1505,228,Steam turbine,NaturalGas,22.1,0.3773,0.534852902,0,0,50.9815566,10.2905599
BNA1506,374,Steam turbine,NaturalGas,23.4,0.3784,0.533298097,0,0,52.070093,11.385306
BNA1507,201,Steam turbine,NaturalGas,10.7,0.3916,0.515321757,0,0,49.858588,7.885043
BNA1508,16,Steam turbine,HardCoal,746,0.4575,0.743387978,2.147905429,0,51.6124,7.46532
BNA1509,392,Steam turbine,NaturalGas,66,0.3806,0.530215449,0,0,52.560606,7.295164
BNA1510,355,Steam turbine,Waste,18.7,0.33,0,0,0,51.520132,14.337383
BNA1511a,170,Steam turbine,Lignite,9.3,0.3592,1.011414254,0,0,50.77701,6.48605
BNA1511b,170,Steam turbine,NaturalGas,2.9,0.3487,0.578720964,0,0,50.77701,6.48605
BNA1516,76,Steam turbine,NaturalGas,30,0.3762,0.5364168,0,0,49.59914,8.22096
BNA1520,200,Steam turbine,Waste,10.5,0.33,0,0,0,50.042129,8.261157
BNA1523a,68,Combined cycle,NaturalGas,42,0.504,0.400396825,0,0,50.321134,7.233907
BNA1523b,68,Combined cycle,NaturalGas,0,0.5985,0.337176274,0,0,50.321134,7.233907
BNA1523c,68,Steam turbine,OtherFuels,0,0.33,0,0,0,50.321134,7.233907
BNA1524,400,Steam turbine,NaturalGas,22.1,0.2882,0.700208189,0,0,52.904778,9.658513
BNA1526,430,Steam turbine,Oil(heavy),44.5,0.3432,0.853729604,0,0,54.154861,9.076647
BNA1528,7,Steam turbine,NaturalGas,13.2,0.374,0.539572193,0,0,47.727038,10.319368
BNA1531,417,Steam turbine,NaturalGas,37.7,0.4004,0.503996004,0,0,54.137883,13.667149
BNA1541,349,Steam turbine,NaturalGas,13.4,0.3993,0.505384423,0,0,50.913038,13.324848
BNA1553,313,Steam turbine,OtherFuels,23.3,0.33,0,0,0,48.808369,11.475553
BNA1556,351,Steam turbine,NaturalGas,36,0.4004,0.503996004,0,0,51.150411,13.977139
BNA1557,347,Steam turbine,NaturalGas,12.9,0.4004,0.503996004,0,0,50.79079,12.491081
BNA1558,414,Steam turbine,HardCoal,766,0.4625,0.735351351,0.531171207,0,53.486245,9.953149
BNA1658,216,Steam turbine,NaturalGas,11.3,0.363,0.555922865,0,0,52.029657,8.907163
BNA1671,404,Steam turbine,NaturalGas,17.1,0.4004,0.503996004,0,0,53.592082,8.534511
BNA1673,414,Steam turbine,HardCoal,774,0.4625,0.735351351,0.531171207,0,53.486245,9.953149
BNA1674,407,Steam turbine,HardCoal,731,0.4625,0.735351351,0.531171207,0,53.578698,8.132685
BNA1677,56,Steam turbine,NaturalGas,10.4,0.4015,0.502615193,0,0,52.295298,10.521672
BNA1678,311,Steam turbine,NaturalGas,17.2,0.4015,0.502615193,0,0,48.354126,11.77452
BNA0012a,223,Steam turbine,Biomass,16.8,0.38,0,0,0,51.984761,9.822831
BNA0021,301,Steam turbine,Biomass,9.8,0.38,0,0,0,47.79714,10.85874
BNA0027,130,Steam turbine,Biomass,138.9,0.38,0,0,0,52.72713,12.01115
BNA0055,365,Steam turbine,Biomass,16,0.38,0,0,0,52.07778,13.51725
BNA0062,356,Steam turbine,Biomass,18.3,0.38,0,0,0,52.18269,14.25841
BNA0066,145,Steam turbine,Biomass,17.7,0.38,0,0,0,51.63701,7.61876
BNA0068,364,Steam turbine,Biomass,16.5,0.38,0,0,0,52.42529,13.517308
BNA0090,136,Steam turbine,Biomass,20,0.38,0,0,0,53.252132,13.957019
BNA0103,335,Steam turbine,Biomass,18.1,0.38,0,0,0,51.48993,10.41307
BNA0106,335,Steam turbine,Biomass,53.5,0.38,0,0,0,51.490098,10.412883
BNA0121,148,Steam turbine,Biomass,11.4,0.38,0,0,0,51.85542,6.88867
BNA0156a,209,Steam turbine,Biomass,18,0.38,0,0,0,51.40667,8.60115
BNA0169,246,Steam turbine,Biomass,28.4,0.38,0,0,0,49.515359,9.325151
BNA0172,315,Combined cycle,NaturalGas,178,0.5445,0.370615243,0,0,48.18345,12.85311
BNA0176,373,Steam turbine,Biomass,10.2,0.38,0,0,0,51.92012,11.80181
BNA0191,345,Steam turbine,Biomass,20,0.38,0,0,0,51.50703,12.30048
BNA0192,345,Steam turbine,Biomass,20,0.38,0,0,0,51.51521,12.32479
BNA0224,360,Steam turbine,Biomass,20,0.38,0,0,0,52.851545,13.77806
BNA0232a,297,Steam turbine,Biomass,13.2,0.38,0,0,0,48.26698,9.72615
BNA0232b,297,Steam turbine,Biomass,8,0.38,0,0,0,48.26693,9.72626
BNA0242,350,Steam turbine,Biomass,12.6,0.38,0,0,0,51.46616,13.50464
BNA0244,409,Steam turbine,Biomass,20,0.38,0,0,0,53.34217,7.20624
BNA0250a,392,Steam turbine,Biomass,20,0.38,0,0,0,52.619274,6.86931
BNA0250b,392,Steam turbine,Biomass,10.6,0.38,0,0,0,52.61913,6.872126
BNA0277,200,Steam turbine,Biomass,12.6,0.38,0,0,0,50.022602,8.377209
BNA0283,72,Steam turbine,Biomass,12.4,0.38,0,0,0,50.12943,8.76792
BNA0347,293,Steam turbine,Biomass,15.7,0.38,0,0,0,48.62833,10.20078
BNA0385,211,Steam turbine,Biomass,12.1,0.38,0,0,0,51.91537,8.40031
BNA0388,178,Steam turbine,Biomass,20,0.38,0,0,0,51.411114,7.491698
BNA0399,415,Steam turbine,Biomass,20,0.38,0,0,0,53.53188044,10.07459164
BNA0408,217,Steam turbine,Biomass,16.8,0.38,0,0,0,52.09875,9.38821
BNA0435,138,Steam turbine,Biomass,19.7,0.38,0,0,0,53.15113,12.37706
BNA0483,216,Steam turbine,Biomass,19.9,0.38,0,0,0,51.88476,8.9567
BNA0500,201,Steam turbine,Biomass,12.4,0.38,0,0,0,49.974392,8.044595
BNA0520,32,Steam turbine,Biomass,78,0.38,0,0,0,49.0393,8.31134
BNA0549,365,Steam turbine,Biomass,17.1,0.38,0,0,0,52.30479,13.63603
BNA0553,313,Steam turbine,Biomass,15.1,0.38,0,0,0,48.79123,11.50679
BNA0566,295,Steam turbine,Biomass,9.6,0.38,0,0,0,48.49331,11.17662
BNA0573,386,Steam turbine,Biomass,20,0.38,0,0,0,52.57703,9.11009
BNA0601,182,Steam turbine,Biomass,14,0.38,0,0,0,50.70213,8.0732
BNA0617,91,Steam turbine,Biomass,20,0.38,0,0,0,51.61403992,7.481253974
BNA0621,337,Steam turbine,Biomass,18.1,0.38,0,0,0,51.870883,12.569466
BNA0628,419,Steam turbine,Biomass,9.8,0.38,0,0,0,53.74186,12.78302
BNA0636,250,Steam turbine,Biomass,17.9,0.38,0,0,0,49.51644467,8.460246482
BNA0637,250,Steam turbine,Biomass,59.2,0.38,0,0,0,49.5349,8.46358
BNA0692,323,Steam turbine,Biomass,15.6,0.38,0,0,0,49.26133,11.4516
BNA0701,115,Steam turbine,Biomass,12.1,0.38,0,0,0,51.204956,6.708548
BNA0756,254,Steam turbine,Biomass,18.8,0.38,0,0,0,49.011491,9.67177
BNA0775,395,Steam turbine,Biomass,20,0.38,0,0,0,53.09716,7.3954
BNA0797,265,Steam turbine,Biomass,12.3,0.38,0,0,0,48.89705,8.725
BNA0826,154,Steam turbine,Biomass,14,0.38,0,0,0,51.604008,7.250848
BNA0860,332,Steam turbine,Biomass,12.9,0.38,0,0,0,50.49776,11.65616
BNA0926a,128,Steam turbine,Biomass,14,0.38,0,0,0,49.97745,9.06872
BNA1055,200,Steam turbine,Biomass,6.7,0.38,0,0,0,50.040546,8.253248
BNA1091,311,Steam turbine,Biomass,10,0.38,0,0,0,48.45534,11.8019
BNA1256,360,Steam turbine,Biomass,13.3,0.38,0,0,0,53.08672,14.31935
BNA1335c,405,Combustion Engine,Biomass,1.92,0.38,0,0,0,53.40317,8.12821
BNA1337b,128,Steam turbine,Biomass,1.1,0.38,0,0,0,49.988218,9.155761
BNA1337c,128,Steam turbine,Biomass,0.8,0.38,0,0,0,49.988218,9.155761
BNA1398,138,Steam turbine,Biomass,18.6,0.38,0,0,0,53.148966,12.379742
BNA1405b,297,Steam turbine,Biomass,8.7,0.38,0,0,0,48.39704,9.96484
BNA1405c,297,Steam turbine,Biomass,4.5,0.38,0,0,0,48.39704,9.96484
BNA1501,293,Steam turbine,Biomass,14,0.38,0,0,0,48.628498,10.200853
BNA1522,360,Steam turbine,Biomass,17.8,0.38,0,0,0,53.320352,14.271028
